@relation D_512

@attribute x1 numeric
@attribute x2 numeric
@attribute y {0, 1}

@data
0.681873,-0.970793,1
-1.280869,1.465209,1
-1.339761,-0.43792,1
0.071038,0.584503,0
1.221975,-0.554152,1
0.910818,1.36644,1
1.436764,0.459425,1
-0.426571,0.014192,0
-0.819046,-0.117775,0
0.615384,-1.227679,1
0.029232,1.306268,1
-0.954377,-0.885626,1
0.123256,1.01461,0
-0.99863,1.127578,1
0.251453,1.09707,0
-0.927198,1.148228,1
0.852269,1.452624,1
0.323371,-0.938226,1
0.022315,0.793397,0
-0.56464,-1.246063,1
0.358612,-0.109169,0
-0.417265,-0.440954,0
0.996481,-1.109828,1
1.476414,1.399484,1
-0.203303,-0.193647,0
-0.631504,-0.661186,1
0.471925,-0.745061,1
0.173655,1.416028,1
-1.101866,1.293919,1
-0.15196,-0.282097,0
0.003061,0.190228,0
0.618683,0.939446,0
-1.464692,0.459823,1
-1.383401,-0.449929,1
-0.574614,-1.397598,1
0.833656,1.00171,0
-0.673617,0.420863,0
-0.829823,-0.733913,1
1.297308,-0.760246,1
0.018701,-0.23923,0
0.531277,-0.638105,1
0.442728,-1.063729,1
-0.480861,-0.830568,1
-0.00826,1.071345,1
0.418682,-1.32514,1
0.595793,0.263171,0
0.958782,-0.421897,1
-1.409208,0.278884,1
0.831676,0.92589,0
0.340249,-1.204281,1
1.465234,0.832731,1
-0.750014,-0.009535,0
0.668614,1.266042,1
-1.353612,1.262849,1
0.136944,-0.856344,0
-0.352006,-0.253052,0
1.427647,0.84443,1
-0.192001,0.784821,0
0.874551,-0.097133,0
1.114354,0.487709,0
-0.58041,1.035903,0
-0.911564,-1.447454,1
0.898143,1.347564,1
0.420233,-0.957071,1
0.231239,-1.159027,1
-0.07934,1.101229,1
-0.69312,1.141432,0
0.529847,0.317572,0
-0.179941,-1.14271,1
0.728003,-0.278055,0
-0.569402,0.512977,0
-0.049294,1.435555,1
1.427455,-1.07333,1
-1.485181,0.417521,1
0.95606,0.835705,0
0.72155,-0.08819,0
-0.059687,-0.946908,1
0.34468,0.311465,0
1.477957,0.03872,1
0.631743,0.411777,0
0.508235,-0.293263,0
0.151278,-1.151355,1
-1.300311,-0.287355,1
0.251399,0.030318,0
-1.166257,-0.5716,1
0.138281,-0.300862,0
0.251801,0.5924,0
-1.074102,1.089296,1
-1.153616,0.738419,1
1.339729,0.113442,1
-0.049737,0.665585,0
-0.782952,1.150198,0
-1.258772,0.430947,1
0.703588,-0.293318,0
-1.310348,0.503988,1
0.538107,-0.238987,0
0.352027,-1.250735,1
0.522378,-1.17021,1
-1.220217,-0.643216,1
-0.077944,-0.788435,0
1.092347,0.285577,0
-0.340541,1.450233,1
1.056372,0.41008,0
0.728458,-0.582781,1
-0.312603,0.001225,0
1.178726,0.123614,1
1.214311,0.670836,1
0.819752,-1.157688,1
-0.363277,1.048211,0
-1.028446,-0.521314,1
-0.289544,-1.363308,1
0.833427,-0.793476,1
-0.147076,1.273387,1
1.37844,-1.176905,1
-0.304494,1.273857,1
0.193216,0.03024,0
-0.764432,1.070439,0
-0.621097,-0.152872,0
0.883293,1.394305,1
-0.388085,-0.17494,0
-0.630457,-1.161823,1
0.469796,0.968608,0
1.378862,0.8732,1
-0.360463,-0.546383,0
-0.227434,1.199003,1
-0.207767,-1.466473,1
1.495846,-1.30403,1
0.855574,0.78296,0
0.485901,-1.349041,1
-1.483394,-0.106,1
1.054575,-1.183986,1
-0.779319,0.290132,0
0.310977,0.207835,0
0.006204,-0.355957,0
-0.580316,-0.94601,1
-0.167145,-0.782273,0
1.187627,-1.302775,1
-0.442312,0.262548,0
0.784121,0.158747,0
0.752136,0.707135,0
-1.490597,1.433338,1
-0.9514,-1.146022,1
-0.486923,1.220548,0
0.984975,-0.659343,1
-1.293277,0.396928,1
0.124773,-1.201016,1
1.101252,-0.50362,1
-1.218431,0.800667,1
0.409132,-0.669957,0
0.821651,0.01041,0
-0.318975,-0.15951,0
-0.642199,1.41521,1
-0.866876,0.838426,0
-0.754119,-1.095605,1
-0.065659,0.898581,0
-0.482771,0.466798,0
-0.292554,0.896971,0
-1.333964,0.960656,1
1.252403,0.422521,1
-0.520647,-0.934404,1
0.898941,-0.048765,0
0.702627,-0.469361,1
-0.997603,0.656022,0
-0.56875,1.248389,1
-0.514502,-0.402784,0
-0.775979,0.893712,0
0.231742,-1.283589,1
0.579185,0.285695,0
-0.123424,0.530929,0
0.426239,-1.477956,1
0.756752,0.726262,0
-0.931634,-1.417566,1
0.994011,1.456994,1
-1.353314,1.470782,1
0.484032,-0.027665,0
-1.124571,0.635866,0
-0.510878,-0.753934,1
-0.574514,0.330566,0
-0.953439,-0.494319,1
0.594352,-0.00791,0
1.361338,-0.017316,1
-0.622494,-0.239887,0
-1.137597,-0.611328,1
-1.308654,0.027147,1
-0.40712,-0.323983,0
0.666789,0.899235,0
0.428892,1.357433,1
-0.695599,-0.076401,0
-1.390335,-1.177003,1
-0.43592,0.497049,0
1.195215,-0.772851,1
-0.837952,-0.217865,0
1.414889,0.71001,1
-0.217945,1.287766,1
1.171975,1.05112,1
-1.191123,1.068551,1
-1.463392,-1.279411,1
1.042,1.410472,1
0.993561,-0.097383,1
1.220946,1.34142,1
